No,Salary
33858,64103.59083716969
33859,90581.87670764414
33860,86895.51532800063
33861,15506.606877293527
33862,86688.03947267582
33863,92132.65606947402
33864,22468.70962023245
33865,109771.56368107634
33866,49809.74774029108
33867,100176.45081598926
33868,117608.645245376
33869,38599.616543399185
33870,83585.73571285952
33871,103256.69354876532
33872,68836.56018984862
33873,14394.029478044298
33874,155781.451367951
33875,45823.83521033865
33876,54910.607589783875
33877,6583.975604620569
33878,82930.38378066571
33879,29354.041217051916
33880,13800.602498270588
33881,85867.6532024975
33882,5769.928238035942
33883,35195.75888802747
33884,101341.26245207558
33885,93782.96308441358
33886,109392.80243922175
33887,65190.69770621317
33888,23671.506732758575
33889,98923.60519386095
33890,42831.28127178517
33891,116616.60880149326
33892,114566.78167456244
33893,62115.0501007054
33894,101604.33853159014
33895,440.34998919029067
33896,9069.514417914683
33897,11759.613842404113
33898,58481.00529779028
33899,35012.81264036532
33900,72503.13365254161
33901,17718.520394498904
33902,58860.33809285712
33903,53914.57375574559
33904,73555.15201987982
33905,60051.04141407406
33906,56482.300635886815
33907,54129.13980752862
33908,6669.0206932527035
33909,13442.367263324342
33910,45052.55877753538
33911,23059.84626169945
33912,11620.333493771064
33913,77182.35052310483
33914,39429.92850021929
33915,19728.305133867012
33916,27121.089939928297
33917,51873.200577320444
33918,11830.183047823075
33919,30312.660656241456
33920,11860.239817241349
33921,30408.489658477538
33922,25374.05511645406
33923,99871.23362993335
33924,55043.528623501086
33925,107301.82543091378
33926,61553.10897512971
33927,141087.54207130187
33928,5538.850532414209
33929,20473.245226933886
33930,34095.72815218051
33931,31845.80132443129
33932,54917.80097059964
33933,6696.542678603277
33934,25741.899772371555
33935,33248.23697807023
33936,8977.744756116237
33937,18736.790410816673
33938,42703.47571470966
33939,797.7002296159744
33940,48724.40855819405
33941,84779.00036860035
33942,64027.883848808575
33943,20042.03680102467
33944,30532.472680179755
33945,65683.41750465162
33946,15929.154691807473
33947,10695.69061089177
33948,94962.71991414492
33949,61802.89755531532
33950,90045.43951189106
33951,132674.93953527557
33952,23450.348682806205
33953,8907.7108563172
33954,10137.993797005965
33955,12658.911275571762
33956,39252.089245013696
33957,10738.702280911468
33958,66061.63572171873
33959,74676.54783594105
33960,109855.58184674452
33961,91278.91340391914
33962,50663.5431700646
33963,31515.778397765516
33964,72620.02147757569
33965,10651.219442351558
33966,13085.36935413583
33967,23684.534873146524
33968,57546.97390824489
33969,17130.657499405606
33970,144018.81062858776
33971,64082.78537929493
33972,120494.43495576287
33973,36913.45414860443
33974,101678.05262669768
33975,83069.92715532765
33976,84300.65705014106
33977,23943.591072473006
33978,29306.900140774742
33979,25664.94650624811
33980,105887.73252741335
33981,74415.89383945832
33982,36621.577649416744
33983,127925.67124499613
33984,39245.93981657119
33985,95985.30771865678
33986,100954.37453064749
33987,60286.375631862174
33988,103916.79475932335
33989,70885.62212450367
33990,15903.309244792183
33991,57277.475618696764
33992,37071.14573634766
33993,67400.47576318934
33994,96291.84505626325
33995,57089.18831847986
33996,9764.168932010847
33997,110058.46489996485
33998,104406.48396364297
33999,110180.49425946019
34000,73563.17468865289
34001,114944.00416588437
34002,19949.296835840512
34003,112515.49306782421
34004,47350.38625302214
34005,96016.97008606055
34006,50934.62718514627
34007,110771.03895930926
34008,116694.08149878224
34009,5562.7691088561805
34010,57877.31480105246
34011,51177.85153255043
34012,12564.593646545565
34013,74402.06285861401
34014,40757.071739364066
34015,52072.12121186472
34016,7175.936882453497
34017,6724.304136862726
34018,112200.11163847479
34019,100457.74404719533
34020,69842.29299826208
34021,104393.48647632358
34022,33818.37629910135
34023,63777.304625729856
34024,129066.28583818335
34025,43285.22763857852
34026,23474.267057953388
34027,49939.17907704225
34028,120354.9439182675
34029,22036.88335033013
